,,goals,goals,goals,goals,goals,assists,assists,assists,assists,assists,gca,gca,gca,gca,gca,passes,passes,passes,passes,passes,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,aerials_won_pct,tackles,tackles,tackles,tackles,tackles
,,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max,min,25%,50%,75%,max
Brentford,FW,3.0,3.5,4.0,8.0,12.0,1.0,1.5,2.0,3.0,4.0,3.0,3.0,3.0,10.0,17.0,334.0,340.5,347.0,572.0,797.0,23.5,35.7,47.9,65.5,83.1,14.0,14.5,15.0,25.5,36.0
Brentford,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108.0,1108.0,1108.0,1108.0,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brentford,MF,1.0,1.0,1.0,3.5,6.0,0.0,0.5,1.0,3.0,5.0,2.0,2.0,2.0,5.0,8.0,464.0,643.0,822.0,879.5,937.0,55.2,84.6,114.0,117.05,120.1,30.0,36.5,43.0,58.5,74.0
Brescia,DF,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,443.0,562.0,808.0,849.0,1154.0,42.9,48.8,50.0,60.5,63.9,10.0,19.0,28.0,35.0,51.0
Brescia,FW,0.0,3.5,7.0,10.0,13.0,0.0,0.5,1.0,1.5,2.0,1.0,3.0,5.0,5.0,5.0,308.0,376.5,445.0,640.0,835.0,23.5,33.55,43.6,87.39999999999999,131.2,13.0,13.0,13.0,16.5,20.0
Brescia,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,849.0,849.0,849.0,849.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brescia,MF,1.0,1.75,2.0,2.0,2.0,0.0,0.0,0.5,1.0,1.0,0.0,0.75,1.5,2.25,3.0,381.0,429.75,613.5,809.25,894.0,16.0,40.0,48.25,61.0,98.5,11.0,18.5,25.0,41.75,80.0
Brighton & Hove Albion,DF,0.0,1.0,1.0,4.0,10.0,0.0,1.0,1.0,3.0,8.0,2.0,3.0,4.0,5.0,15.0,638.0,1489.0,2634.0,3401.0,6830.0,47.8,113.0,182.6,212.9,262.6,26.0,59.0,102.0,125.0,150.0
Brighton & Hove Albion,FW,2.0,5.5,10.0,13.5,24.0,0.0,1.5,2.0,3.5,9.0,2.0,4.0,6.0,10.5,23.0,282.0,525.5,712.0,1199.0,2447.0,49.4,57.0,63.4,104.65,166.0,17.0,23.5,28.0,58.0,76.0
Brighton & Hove Albion,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.0,1780.0,1780.0,1780.0,1780.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
Brighton & Hove Albion,MF,0.0,1.25,2.0,2.75,8.0,0.0,1.25,2.5,3.0,17.0,1.0,2.5,6.0,9.0,24.0,685.0,783.25,1658.5,2978.0,4221.0,38.2,62.85,100.1,140.85000000000002,215.7,23.0,38.5,74.5,114.0,271.0
Burnley,DF,0.0,0.0,1.0,3.5,7.0,1.0,2.0,4.0,4.5,6.0,1.0,4.0,6.0,9.5,12.0,619.0,2050.5,3793.0,4010.0,4699.0,164.3,201.85,239.5,256.05,287.8,43.0,123.0,160.0,191.5,249.0
Burnley,FW,7.0,8.5,15.0,25.5,39.0,2.0,3.5,4.5,5.25,6.0,8.0,9.5,11.0,13.75,19.0,527.0,770.0,1024.0,1404.75,2028.0,112.4,117.35,129.55,149.42499999999998,177.4,22.0,37.75,51.5,61.75,67.0
Burnley,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,1096.25,1594.5,2092.75,2591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burnley,MF,0.0,1.0,1.5,6.25,7.0,1.0,1.75,3.0,10.25,19.0,2.0,4.25,5.5,18.75,35.0,472.0,1397.0,2465.5,3269.5,6129.0,36.4,150.225,170.05,185.6,196.9,47.0,62.5,102.5,160.25,170.0
CA Osasuna,DF,0.0,0.25,1.0,2.75,4.0,0.0,0.0,0.0,0.75,7.0,0.0,1.0,2.0,4.5,13.0,923.0,1116.5,1574.0,2759.25,4550.0,96.3,141.125,192.65,221.3,260.9,15.0,47.75,78.0,94.5,164.0
CA Osasuna,FW,3.0,7.0,13.0,22.0,25.0,1.0,2.75,3.0,4.75,8.0,5.0,6.5,9.5,17.25,19.0,391.0,895.75,1082.0,1624.75,2832.0,62.3,114.85,142.25,156.47500000000002,185.8,13.0,36.25,51.0,55.0,126.0
CA Osasuna,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2293.0,2293.0,2293.0,2293.0,2293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA Osasuna,MF,1.0,2.0,3.5,4.0,16.0,1.0,1.25,2.5,3.75,14.0,3.0,5.25,6.0,8.5,22.0,769.0,1414.5,2092.5,2206.5,2397.0,50.1,89.225,145.6,189.52500000000003,398.7,21.0,42.5,66.5,105.75,125.0
Caen,DF,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.5,1.75,2.0,596.0,674.5,753.0,831.5,910.0,58.6,60.625,62.650000000000006,64.67500000000001,66.7,15.0,20.5,26.0,31.5,37.0
Caen,FW,0.0,1.5,3.0,4.5,6.0,0.0,0.5,1.0,1.5,2.0,2.0,3.0,4.0,4.5,5.0,389.0,425.0,461.0,509.0,557.0,41.3,41.849999999999994,42.4,50.349999999999994,58.3,15.0,15.5,16.0,16.0,16.0
Caen,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0,1222.0,1222.0,1222.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
