,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2022,Bouna Sarr\1a4b9094,sn SEN,DF,Bayern Munich,de Bundesliga,29-321,1992,4,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2023,Ismaila Sarr\bfdb33aa,sn SEN,MFFW,Watford,eng Premier League,23-296,1998,12,12,1030,11.4,5,0,5,0,1,1,0,0.44,0.00,0.44,0.44,0.44,3.4,2.6,1.2,3.8,0.30,0.10,0.40,0.23,0.33,Matches
2024,Malang Sarr\4315f30d,fr FRA,DF,Chelsea,eng Premier League,22-329,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2025,Joan Sastre Vanrell\f9acf8bf,es ESP,DF,Mallorca,es La Liga,24-232,1997,7,2,258,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
2026,Martin Satriano\86383d0e,it ITA,FWMF,Inter,it Serie A,20-301,2001,4,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.10,0.10,0.00,0.10,Matches
2027,Téji Savanier\6bde367b,fr FRA,MF,Montpellier,fr Ligue 1,29-361,1991,15,15,1285,14.3,4,5,3,1,1,6,1,0.28,0.35,0.63,0.21,0.56,3.1,2.4,2.7,5.0,0.22,0.19,0.41,0.16,0.35,Matches
2028,Esteban Saveljich\79f2a5f5,me MNE,DF,Rayo Vallecano,es La Liga,30-212,1991,13,13,1111,12.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.06,0.02,0.08,0.06,0.08,Matches
2029,Stefan Savić\f6ac68c1,me MNE,DF,Atlético Madrid,es La Liga,30-344,1991,13,13,1090,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.09,0.01,0.10,0.09,0.10,Matches
2030,Joseph Scally\236f02cd,us USA,DF,M'Gladbach,de Bundesliga,18-352,2002,16,16,1388,15.4,1,2,1,0,0,2,0,0.06,0.13,0.19,0.06,0.19,0.8,0.8,1.4,2.1,0.05,0.09,0.14,0.05,0.14,Matches
2031,Giorgio Scalvini\1e9aa637,it ITA,DFMF,Atalanta,it Serie A,18-007,2003,5,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.13,0.13,0.00,0.13,Matches
2032,Gianluca Scamacca\8790f988,it ITA,FW,Sassuolo,it Serie A,22-351,1999,17,8,760,8.4,5,0,5,0,0,2,0,0.59,0.00,0.59,0.59,0.59,3.9,3.9,0.8,4.7,0.46,0.10,0.56,0.46,0.56,Matches
2033,Kevin Schade\52afb588,de GER,FWMF,Freiburg,de Bundesliga,20-021,2001,13,5,544,6.0,1,1,1,0,0,2,0,0.17,0.17,0.33,0.17,0.33,1.1,0.9,0.3,1.3,0.18,0.06,0.24,0.16,0.21,Matches
2034,Fabian Schär\c8aa95da,ch SUI,DF,Newcastle Utd,eng Premier League,29-363,1991,8,8,700,7.8,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
2035,Louis Schaub\b50ec54b,at AUT,MFFW,Köln,de Bundesliga,26-354,1994,14,1,227,2.5,1,2,1,0,0,0,0,0.40,0.79,1.19,0.40,1.19,0.4,0.4,1.2,1.6,0.16,0.47,0.63,0.16,0.63,Matches
2036,Andrea Schiavone\4b55eb4d,it ITA,MF,Salernitana,it Serie A,28-298,1993,12,3,446,5.0,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.3,0.3,0.6,0.8,0.05,0.11,0.16,0.05,0.16,Matches
2037,Patrik Schick\5d4f7d61,cz CZE,FW,Leverkusen,de Bundesliga,25-328,1996,13,13,1011,11.2,16,1,15,1,1,0,0,1.42,0.09,1.51,1.34,1.42,10.1,9.3,0.5,9.9,0.90,0.05,0.95,0.83,0.88,Matches
2038,Kingsley Schindler\bd527260,de GER,DFMF,Köln,de Bundesliga,28-159,1993,6,1,162,1.8,0,1,0,0,0,1,0,0.00,0.56,0.56,0.00,0.56,0.4,0.4,0.9,1.2,0.20,0.49,0.69,0.20,0.69,Matches
2039,Xaver Schlager\8f056768,at AUT,MF,Wolfsburg,de Bundesliga,24-081,1997,3,3,238,2.6,0,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,0.1,0.1,0.1,0.2,0.02,0.05,0.08,0.02,0.08,Matches
2040,Keven Schlotterbeck\f6bdc830,de GER,DF,Freiburg,de Bundesliga,24-234,1997,5,1,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
2041,Nico Schlotterbeck\34e12499,de GER,DF,Freiburg,de Bundesliga,22-017,1999,16,16,1371,15.2,2,0,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,1.9,1.9,0.9,2.8,0.12,0.06,0.18,0.12,0.18,Matches
2042,Jeffrey Schlupp\3312f911,gh GHA,MFFW,Crystal Palace,eng Premier League,28-360,1992,12,4,395,4.4,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,0.5,0.5,0.3,0.8,0.12,0.07,0.19,0.12,0.19,Matches
2043,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,eng Premier League,35-043,1986,16,16,1440,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2044,Jonathan Schmid\088ca1bd,fr FRA,DF,Freiburg,de Bundesliga,31-175,1990,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.02,0.04,0.02,0.04,Matches
2045,Benno Schmitz\ad00b1a8,de GER,DF,Köln,de Bundesliga,27-031,1994,15,15,1257,14.0,0,4,0,0,0,3,0,0.00,0.29,0.29,0.00,0.29,0.3,0.3,2.7,3.0,0.02,0.19,0.21,0.02,0.21,Matches
2046,David Schnegg\1c341b14,at AUT,DF,Venezia,it Serie A,23-080,1998,4,2,142,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
2047,Morgan Schneiderlin\51b41c5c,fr FRA,MF,Nice,fr Ligue 1,32-040,1989,6,1,145,1.6,0,1,0,0,0,0,0,0.00,0.62,0.62,0.00,0.62,0.2,0.2,0.1,0.3,0.14,0.06,0.20,0.14,0.20,Matches
2048,Alessandro Schöpf\106bca06,at AUT,MF,Arminia,de Bundesliga,27-314,1994,15,13,1192,13.2,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,1.6,1.6,1.7,3.3,0.12,0.13,0.25,0.12,0.25,Matches
2049,Jerdy Schouten\2cfae697,nl NED,MF,Bologna,it Serie A,24-340,1997,2,1,116,1.3,0,1,0,0,0,2,1,0.00,0.78,0.78,0.00,0.78,0.0,0.0,0.2,0.2,0.02,0.13,0.15,0.02,0.15,Matches
2050,Nico Schulz\fa274d97,de GER,DF,Dortmund,de Bundesliga,28-261,1993,9,6,518,5.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches
2051,Marvin Schwäbe\87436846,de GER,GK,Köln,de Bundesliga,26-237,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2052,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,de Bundesliga,29-199,1992,16,16,1440,16.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2053,Aleksandar Sedlar\a35134ae,rs SRB,DFMF,Mallorca,es La Liga,30-005,1991,7,1,204,2.3,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
2054,Paul Seguin\8872ed17,de GER,MF,Greuther Fürth,de Bundesliga,26-264,1995,14,13,1169,13.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,Matches
2055,Alidu Seidu\cea59f02,ci CIV,DFFW,Clermont Foot,fr Ligue 1,21-197,2000,5,1,141,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.32,0.04,0.37,0.32,0.37,Matches
2056,Davie Selke\1238a3f9,de GER,FW,Hertha BSC,de Bundesliga,26-332,1995,11,4,398,4.4,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,1.2,1.2,0.0,1.2,0.26,0.01,0.27,0.26,0.27,Matches
2057,Matz Sels\834b5c4c,be BEL,GK,Strasbourg,fr Ligue 1,29-295,1992,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
2058,Ken Sema\1770bd68,se SWE,MFFW,Watford,eng Premier League,28-079,1993,7,2,304,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.01,0.17,0.18,0.01,0.18,Matches
2059,Nélson Semedo\d04b94db,pt POR,DF,Wolves,eng Premier League,28-032,1993,16,16,1389,15.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.6,1.8,0.07,0.04,0.12,0.07,0.12,Matches
2060,Stefano Sensi\b70bde8f,it ITA,MF,Inter,it Serie A,26-135,1995,8,1,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.19,0.12,0.30,0.19,0.30,Matches
2061,Suat Serdar\b3325a30,de GER,MFFW,Hertha BSC,de Bundesliga,24-251,1997,15,15,1256,14.0,2,0,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,1.9,1.9,0.8,2.6,0.13,0.05,0.19,0.13,0.19,Matches
2062,Laurens Serpe\79d60e74,it ITA,DF,Genoa,it Serie A,20-314,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2063,Janni Serra\40b58bfc,de GER,FW,Arminia,de Bundesliga,23-280,1998,11,3,255,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.22,0.02,0.24,0.22,0.24,Matches
2064,Nicolás Serrano\2ad0e5e5,es ESP,MFFW,Athletic Club,es La Liga,18-288,2003,4,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.20,0.14,0.34,0.20,0.34,Matches
2065,Zidan Sertdemir\eec1f7f4,dk DEN,FW,Leverkusen,de Bundesliga,16-317,2005,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2066,Ryan Sessegnon\6aa3e78b,eng ENG,DF,Tottenham,eng Premier League,21-214,2000,2,0,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
2067,Nils Seufert\0da32a38,de GER,MF,Greuther Fürth,de Bundesliga,24-318,1997,4,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2068,Salva Sevilla\75bd85ea,es ESP,MF,Mallorca,es La Liga,37-275,1984,9,6,510,5.7,1,2,0,1,1,0,0,0.18,0.35,0.53,0.00,0.35,1.1,0.4,1.2,1.6,0.20,0.22,0.41,0.06,0.28,Matches
2069,Stephan El Shaarawy\d3aaad90,it ITA,DFFW,Roma,it Serie A,29-052,1992,15,5,628,7.0,2,0,2,0,0,1,0,0.29,0.00,0.29,0.29,0.29,1.5,1.5,1.4,2.9,0.21,0.20,0.41,0.21,0.41,Matches
2070,Jamie Shackleton\8d03ca5a,eng ENG,DF,Leeds United,eng Premier League,22-071,1999,11,7,628,7.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.02,0.01,0.02,0.02,0.02,Matches
2071,Xherdan Shaqiri\6421ec64,ch SUI,FW,Lyon,fr Ligue 1,30-069,1991,8,8,553,6.1,1,2,1,0,0,0,0,0.16,0.33,0.49,0.16,0.49,0.4,0.4,1.9,2.3,0.07,0.30,0.37,0.07,0.37,Matches
2072,Luke Shaw\9c94165b,eng ENG,DF,Manchester Utd,eng Premier League,26-159,1995,12,12,999,11.1,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.1,0.1,1.3,1.4,0.01,0.12,0.13,0.01,0.13,Matches
2073,Jonjo Shelvey\3727dd3c,eng ENG,MF,Newcastle Utd,eng Premier League,29-294,1992,10,8,723,8.0,1,0,1,0,0,4,1,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.4,0.7,0.04,0.05,0.09,0.04,0.09,Matches
2074,Aimar Sher\ef301f96,se SWE,MF,Spezia,it Serie A,18-363,2002,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2075,Eldor Shomurodov\57469b2d,uz UZB,FW,Roma,it Serie A,26-172,1995,13,4,462,5.1,1,3,1,0,0,1,0,0.19,0.58,0.78,0.19,0.78,2.2,2.2,1.3,3.5,0.43,0.26,0.69,0.43,0.69,Matches
2076,Mahame Siby\6d075c67,ml MLI,MFDF,Strasbourg,fr Ligue 1,25-164,1996,2,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2077,Aboubakar Sidibé\ae5b93a0,fr FRA,FW,Clermont Foot,fr Ligue 1,25-229,1996,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2078,Djibril Sidibé\4c5b714f,fr FRA,DF,Monaco,fr Ligue 1,29-142,1992,10,7,615,6.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.02,0.12,0.13,0.02,0.13,Matches
2079,Kaj Sierhuis\9c2b1f11,nl NED,FW,Reims,fr Ligue 1,23-235,1998,2,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.10,0.11,0.21,0.10,0.21,Matches
2080,Francisco Sierralta\0f933743,cl CHI,DF,Watford,eng Premier League,24-226,1997,3,3,247,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2081,Arnór Sigurðsson\f209b81e,is ISL,MFFW,Venezia,it Serie A,22-217,1999,4,0,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2082,Kiliann Sildillia\313254a3,fr FRA,DF,Freiburg,de Bundesliga,19-216,2002,3,1,105,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.15,0.15,0.00,0.15,Matches
2083,Adrien Silva\d6f88a1d,pt POR,MF,Sampdoria,it Serie A,32-278,1989,15,10,903,10.0,0,1,0,0,0,2,1,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.4,0.7,0.03,0.04,0.07,0.03,0.07,Matches
2084,André Silva\3effaa34,pt POR,FW,RB Leipzig,de Bundesliga,26-042,1995,16,11,975,10.8,5,2,4,1,1,1,0,0.46,0.18,0.65,0.37,0.55,5.8,5.0,1.5,6.5,0.54,0.14,0.67,0.46,0.60,Matches
2085,Bernardo Silva\3eb22ec9,pt POR,MF,Manchester City,eng Premier League,27-130,1994,16,16,1342,14.9,7,1,7,0,0,3,0,0.47,0.07,0.54,0.47,0.54,4.0,4.0,2.6,6.6,0.27,0.18,0.44,0.27,0.44,Matches
2086,Caio Henrique Oliveira Silva\30af8b93,br BRA,DF,Monaco,fr Ligue 1,24-140,1997,16,13,1080,12.0,0,4,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.3,0.3,2.7,3.0,0.03,0.22,0.25,0.03,0.25,Matches
2087,David Silva\e2716bd0,es ESP,MF,Real Sociedad,es La Liga,35-344,1986,9,9,649,7.2,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.8,0.8,0.9,1.7,0.11,0.12,0.23,0.11,0.23,Matches
2088,Fábio Silva\e7aa9d7c,pt POR,MFFW,Wolves,eng Premier League,19-152,2002,8,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.07,0.13,0.20,0.07,0.20,Matches
2089,Gabriel Silva\4914ed4a,br BRA,DF,Saint-Étienne,fr Ligue 1,30-219,1991,3,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.03,0.05,0.02,0.05,Matches
2090,Jonathan Silva\f2308b33,ar ARG,MFDF,Getafe,es La Liga,27-172,1994,7,0,143,1.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.06,0.08,0.02,0.08,Matches
2091,Rui Silva\ea83bfa6,pt POR,GK,Betis,es La Liga,27-314,1994,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2092,Thiago Silva\86e7deaf,br BRA,DF,Chelsea,eng Premier League,37-087,1984,14,11,1142,12.7,2,0,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
2093,Marco Silvestri\0d422df7,it ITA,GK,Udinese,it Serie A,30-291,1991,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
2094,Mohamed Simakan\fcb27134,fr FRA,DF,RB Leipzig,de Bundesliga,21-229,2000,14,11,1030,11.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.7,0.05,0.01,0.06,0.05,0.06,Matches
2095,Giovanni Simeone\343c0d52,ar ARG,FW,Hellas Verona,it Serie A,26-166,1995,15,12,1056,11.7,12,2,12,0,0,3,0,1.02,0.17,1.19,1.02,1.19,4.6,4.6,1.0,5.6,0.39,0.09,0.48,0.39,0.48,Matches
2096,Giovanni Simeone\343c0d52,ar ARG,FW,Cagliari,it Serie A,26-166,1995,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2097,Ellis Simms\26d3b5be,eng ENG,FW,Everton,eng Premier League,20-347,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2098,Moses Simon\5f3eaaf5,ng NGA,FWMF,Nantes,fr Ligue 1,26-159,1995,17,16,1333,14.8,2,6,2,0,0,2,0,0.14,0.41,0.54,0.14,0.54,2.5,2.5,4.6,7.1,0.17,0.31,0.48,0.17,0.48,Matches
2099,Unai Simón\5dcf3e90,es ESP,GK,Athletic Club,es La Liga,24-190,1997,15,15,1350,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2100,Wilfried Singo\8b609c34,ci CIV,DF,Torino,it Serie A,20-358,2000,16,15,1182,13.1,1,2,1,0,0,1,1,0.08,0.15,0.23,0.08,0.23,0.8,0.8,1.1,1.9,0.06,0.09,0.15,0.06,0.15,Matches
2101,Daley Sinkgraven\73000a79,nl NED,DF,Leverkusen,de Bundesliga,26-167,1995,5,1,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.19,0.42,0.61,0.19,0.61,Matches
2102,Salvatore Sirigu\10dc46f0,it ITA,GK,Genoa,it Serie A,34-340,1987,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2103,Issouf Sissokho\792a9d41,ml MLI,MF,Bordeaux,fr Ligue 1,19-322,2002,5,4,313,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.04,0.10,0.13,0.04,0.13,Matches
2104,Ibrahima Sissoko\0f8418aa,fr FRA,MFDF,Strasbourg,fr Ligue 1,24-052,1997,15,13,1090,12.1,1,4,1,0,0,3,0,0.08,0.33,0.41,0.08,0.41,1.1,1.1,3.0,4.2,0.09,0.25,0.34,0.09,0.34,Matches
2105,Moussa Sissoko\2acd49b9,fr FRA,MF,Watford,eng Premier League,32-124,1989,14,14,1240,13.8,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,0.9,1.5,0.05,0.06,0.11,0.05,0.11,Matches
2106,Nelson Sissoko\12bd0579,fr FRA,DF,Saint-Étienne,fr Ligue 1,24-286,1997,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2107,Sambou Sissoko\e4bb1f08,fr FRA,MF,Reims,fr Ligue 1,22-235,1999,6,0,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.14,0.09,0.23,0.14,0.23,Matches
2108,Antonio Sivera\9970da54,es ESP,GK,Alavés,es La Liga,25-129,1996,3,2,187,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2109,Ellyes Skhiri\c2211709,tn TUN,MF,Köln,de Bundesliga,26-222,1995,10,8,773,8.6,3,0,3,0,0,1,0,0.35,0.00,0.35,0.35,0.35,1.9,1.9,0.1,2.0,0.22,0.01,0.23,0.22,0.23,Matches
2110,Oliver Skipp\6250083a,eng ENG,MF,Tottenham,eng Premier League,21-093,2000,13,11,1039,11.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.04,0.04,0.01,0.04,Matches
2111,Łukasz Skorupski\ab4449d6,pl POL,GK,Bologna,it Serie A,30-227,1991,17,17,1530,17.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2112,Andreas Skov Olsen\c50cee19,dk DEN,FWDF,Bologna,it Serie A,21-354,1999,14,4,502,5.6,0,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,0.8,0.8,0.3,1.0,0.14,0.05,0.18,0.14,0.18,Matches
2113,Robert Skov\ff98492b,dk DEN,DFFW,Hoffenheim,de Bundesliga,25-212,1996,6,2,245,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.7,0.21,0.07,0.28,0.21,0.28,Matches
2114,Milan Škriniar\30f5ffa9,sk SVK,DF,Inter,it Serie A,26-310,1995,16,16,1440,16.0,2,0,2,0,0,1,0,0.12,0.00,0.12,0.12,0.12,1.7,1.7,0.3,2.0,0.11,0.02,0.13,0.11,0.13,Matches
2115,Islam Slimani\ffec9769,dz ALG,FW,Lyon,fr Ligue 1,33-183,1988,11,6,559,6.2,1,1,1,0,0,3,0,0.16,0.16,0.32,0.16,0.32,1.6,1.6,0.7,2.3,0.26,0.11,0.37,0.26,0.37,Matches
2116,William Smallbone\5e105217,ie IRL,MF,Southampton,eng Premier League,21-300,2000,1,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.10,0.12,0.23,0.10,0.23,Matches
2117,Chris Smalling\b6964eb6,eng ENG,DF,Roma,it Serie A,32-026,1989,9,5,471,5.2,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,0.4,0.4,0.0,0.4,0.08,0.00,0.08,0.08,0.08,Matches
2118,Emile Smith-Rowe\17695062,eng ENG,MFFW,Arsenal,eng Premier League,21-143,2000,15,13,1164,12.9,6,2,6,0,0,0,0,0.46,0.15,0.62,0.46,0.62,2.4,2.4,1.6,3.9,0.18,0.12,0.30,0.18,0.30,Matches
2119,Cédric Soares\839c14e1,pt POR,DF,Arsenal,eng Premier League,30-109,1991,3,2,189,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.07,0.08,0.01,0.08,Matches
2120,Danilo Soares\c05f2f8c,br BRA,DF,Bochum,de Bundesliga,30-050,1991,16,16,1395,15.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.01,0.04,0.05,0.01,0.05,Matches
2121,Rubén Sobrino\19b776e9,es ESP,MF,Valencia,es La Liga,29-200,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
2122,Rubén Sobrino\19b776e9,es ESP,FWMF,Cádiz,es La Liga,29-200,1992,13,11,937,10.4,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,2.2,2.2,0.7,2.9,0.21,0.06,0.28,0.21,0.27,Matches
2123,Augusto Solari\3ca6106c,ar ARG,MFDF,Celta Vigo,es La Liga,29-349,1992,12,2,380,4.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.07,0.05,0.12,0.07,0.12,Matches
2124,Roberto Soldado\9d66fbe3,es ESP,FW,Levante,es La Liga,36-205,1985,9,5,414,4.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.14,0.03,0.17,0.14,0.17,Matches
