,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
11,Ragnar Ache\dc38e3bc,de GER,FWMF,Eint Frankfurt,de Bundesliga,23-143,1998,8,0,94,1.0,0,1,0,0,0,0,0,0.00,0.96,0.96,0.00,0.96,0.3,0.3,0.3,0.6,0.26,0.29,0.56,0.26,0.56,Matches
12,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,30-051,1991,14,11,964,10.7,1,3,1,0,0,3,0,0.09,0.28,0.37,0.09,0.37,0.9,0.9,1.8,2.7,0.09,0.17,0.25,0.09,0.25,Matches
13,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25-158,1996,12,11,858,9.5,3,1,3,0,0,0,0,0.31,0.10,0.42,0.31,0.42,2.4,2.4,1.4,3.8,0.25,0.15,0.40,0.25,0.40,Matches
14,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,22-307,1999,12,7,714,7.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.7,0.02,0.07,0.08,0.02,0.08,Matches
15,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28-209,1993,12,2,330,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.20,0.34,0.14,0.34,Matches
16,Amine Adli\dcfb17f4,fr FRA,FW,Leverkusen,de Bundesliga,21-222,2000,14,7,722,8.0,2,1,2,0,0,1,0,0.25,0.12,0.37,0.25,0.37,1.2,1.2,0.8,2.0,0.15,0.10,0.25,0.15,0.25,Matches
17,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21-142,2000,18,14,1213,13.5,1,5,1,0,0,2,0,0.07,0.37,0.45,0.07,0.45,1.3,1.3,3.8,5.0,0.09,0.28,0.37,0.09,0.37,Matches
18,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18-333,2003,4,0,122,1.4,2,0,2,0,0,3,1,1.48,0.00,1.48,1.48,1.48,0.5,0.5,0.1,0.6,0.35,0.08,0.43,0.35,0.43,Matches
19,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25-222,1996,11,9,879,9.8,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.8,0.9,0.01,0.08,0.09,0.01,0.09,Matches
20,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20-357,2000,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19-312,2002,12,9,798,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.06,0.02,0.08,0.06,0.08,Matches
22,Kevin Agudelo\46fa7204,co COL,MFFW,Spezia,it Serie A,23-034,1998,3,0,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.07,0.32,0.39,0.07,0.39,Matches
23,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25-263,1996,18,18,1610,17.9,2,1,2,0,0,1,0,0.11,0.06,0.17,0.11,0.17,1.4,1.4,0.2,1.6,0.08,0.01,0.09,0.08,0.09,Matches
24,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-199,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches
25,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28-236,1993,14,10,998,11.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches
26,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27-273,1994,11,5,421,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.02,0.09,0.11,0.02,0.11,Matches
27,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-080,1995,12,10,864,9.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matches
28,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-071,1996,14,12,963,10.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,1.4,0.02,0.12,0.13,0.02,0.13,Matches
29,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-195,2001,9,8,718,8.0,0,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.3,0.3,0.6,0.8,0.04,0.07,0.11,0.04,0.11,Matches
30,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23-245,1998,7,6,565,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,Matches
31,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,27-296,1994,17,16,1339,14.9,9,5,7,2,2,4,1,0.60,0.34,0.94,0.47,0.81,6.3,4.8,1.6,6.4,0.42,0.11,0.53,0.32,0.43,Matches
32,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-152,1995,14,14,1260,14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,1.1,0.08,0.00,0.08,0.08,0.08,Matches
33,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28-281,1993,9,6,596,6.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches
34,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26-303,1995,6,4,401,4.5,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.3,0.3,0.0,0.3,0.06,0.00,0.06,0.06,0.06,Matches
35,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17-246,2004,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.07,0.06,0.13,0.07,0.13,Matches
36,Maghnes Akliouche\b625b241,fr FRA,MF,Monaco,fr Ligue 1,19-296,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,23-363,1997,3,2,179,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
38,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-068,1992,8,4,302,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.12,0.01,0.13,0.12,0.13,Matches
39,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26-243,1995,14,12,928,10.3,1,1,1,0,0,2,0,0.10,0.10,0.19,0.10,0.19,0.9,0.9,1.4,2.3,0.09,0.13,0.22,0.09,0.22,Matches
40,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-177,1992,16,16,1432,15.9,1,3,1,0,0,1,0,0.06,0.19,0.25,0.06,0.25,0.4,0.4,1.7,2.0,0.02,0.10,0.13,0.02,0.13,Matches
41,Sofiane Alakouch\5314e067,ma MAR,DFMF,Metz,fr Ligue 1,23-142,1998,4,0,158,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
42,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,es La Liga,22-333,1999,14,11,967,10.7,0,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,1.0,1.0,0.8,1.8,0.09,0.07,0.17,0.09,0.17,Matches
