,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
342,Steve Mandanda\1d2d5cc8,GK,fr France,33,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
343,Mario Mandžukić\afa0d4e0,FW,hr Croatia,32,1986,6,6,605,6.7,3,1,3,0,0,2,0,0.45,0.15,0.60,0.45,0.60,2.2,2.2,0.5,2.7,0.33,0.08,0.41,0.33,0.41,Matches
344,Sadio Mané\c691bfe2,FW,sn Senegal,26,1992,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.7,0.7,0.3,1.0,0.22,0.11,0.34,0.22,0.34,Matches
345,Birkir Már Sævarsson\a422fba8,DF,is Iceland,33,1984,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
346,Marcelo\603116a7,DF,br Brazil,30,1988,4,4,279,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.10,0.12,0.02,0.12,Matches
347,José María Giménez\f0da930c,DF,uy Uruguay,23,1995,4,4,360,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.2,0.2,0.0,0.2,0.05,0.00,0.05,0.05,0.05,Matches
348,João Mário\f0021247,MF,pt Portugal,25,1993,4,3,259,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.05,0.12,0.17,0.05,0.17,Matches
349,Rafael Márquez\ce067ffe,MF,mx Mexico,39,1979,3,1,86,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
350,Marquinhos\d5f2f82b,DF,br Brazil,24,1994,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
351,Gelson Martins\3ef0fa48,MF,pt Portugal,23,1995,1,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
352,Javier Mascherano\5070881b,MF,ar Argentina,34,1984,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.04,0.04,0.00,0.04,Matches
353,Aymen Mathlouthi\dd1abe1b,GK,tn Tunisia,33,1984,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
354,Nemanja Matić\eb7822d7,MF,rs Serbia,29,1988,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.08,0.01,0.09,0.08,0.09,Matches
355,Blaise Matuidi\c0cddebe,FWMF,fr France,31,1987,5,4,334,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.06,0.05,0.11,0.06,0.11,Matches
356,Abdullah Al-Mayouf\c3c96222,GK,sa Saudi Arabia,31,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
357,Kylian Mbappé\42fd9c7f,FWMF,fr France,19,1998,7,6,532,5.9,4,0,4,0,0,2,0,0.68,0.00,0.68,0.68,0.68,1.7,1.7,0.7,2.5,0.29,0.12,0.42,0.29,0.42,Matches
358,Benjamin Mendy\5271c8f1,DF,fr France,23,1994,1,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches
359,Gabriel Mercado\bf97c188,DF,ar Argentina,31,1987,3,3,270,3.0,1,1,1,0,0,1,0,0.33,0.33,0.67,0.33,0.67,0.3,0.3,0.1,0.4,0.10,0.03,0.13,0.10,0.13,Matches
360,Yassine Meriah\3640af28,DF,tn Tunisia,24,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
361,Dries Mertens\89b2c8a9,FWMF,be Belgium,31,1987,6,3,298,3.3,1,1,1,0,0,0,0,0.30,0.30,0.60,0.30,0.60,0.2,0.2,1.8,2.0,0.07,0.53,0.61,0.07,0.61,Matches
362,Lionel Messi\d70ce98e,MFFW,ar Argentina,30,1987,4,4,360,4.0,1,2,1,0,1,1,0,0.25,0.50,0.75,0.25,0.75,1.7,1.0,0.8,1.8,0.43,0.21,0.64,0.24,0.45,Matches
363,Thomas Meunier\e162b013,DFMF,be Belgium,26,1991,5,5,450,5.0,1,2,1,0,0,2,0,0.20,0.40,0.60,0.20,0.60,0.5,0.5,1.4,1.9,0.09,0.29,0.38,0.09,0.38,Matches
364,Maximiliano Meza\e5e15e0a,MFFW,ar Argentina,25,1992,4,2,208,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.14,0.29,0.43,0.14,0.43,Matches
365,Nikola Milenković\bee704fc,DF,rs Serbia,20,1997,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
366,Arkadiusz Milik\85613cf0,MF,pl Poland,24,1994,1,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.15,0.00,0.15,0.15,0.15,Matches
367,Sergej Milinković-Savić\4e6dbac4,MF,rs Serbia,23,1995,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.06,0.17,0.22,0.06,0.22,Matches
368,Luka Milivojević\2ce2508a,MF,rs Serbia,27,1991,2,2,170,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.10,0.10,0.00,0.10,Matches
369,Mark Milligan\34972862,DF,au Australia,32,1985,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,Matches
370,Kim Min-woo\86468ffb,DF,kr Korea Republic,28,1990,2,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.11,0.13,0.02,0.13,Matches
371,Yerry Mina\6d5701f2,DF,co Colombia,23,1994,3,3,300,3.3,3,0,3,0,0,0,0,0.90,0.00,0.90,0.90,0.90,0.5,0.5,0.0,0.5,0.14,0.00,0.14,0.14,0.14,Matches
372,Aleksei Miranchuk\a9aa0d1d,MFFW,ru Russia,22,1995,1,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
373,Miranda\314f2124,DF,br Brazil,33,1984,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
374,Aleksandar Mitrović\3925dbd6,FW,rs Serbia,23,1994,3,3,266,3.0,1,0,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,1.8,1.8,0.1,1.9,0.61,0.03,0.64,0.61,0.64,Matches
375,Luka Modrić\6025fab1,MF,hr Croatia,32,1985,7,7,691,7.7,2,1,1,1,2,0,0,0.26,0.13,0.39,0.13,0.26,1.8,0.3,0.8,1.1,0.24,0.10,0.34,0.04,0.14,Matches
376,Milad Mohammadi\740a0e28,DF,ir Iran,24,1993,2,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
377,Marwan Mohsen\90df9350,FW,eg Egypt,29,1989,3,3,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.09,0.10,0.19,0.09,0.19,Matches
378,Johan Mojica\608f2092,DF,co Colombia,25,1992,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.04,0.05,0.00,0.05,Matches
379,Aaron Mooy\47b7e3af,MF,au Australia,27,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.02,0.17,0.20,0.02,0.20,Matches
380,Hussain Al Moqahwi\7dfe2bb0,MF,sa Saudi Arabia,30,1988,2,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.02,0.09,0.07,0.09,Matches
381,Héctor Moreno\5d311e8d,DF,mx Mexico,30,1988,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.05,0.09,0.14,0.05,0.14,Matches
382,Sam Morsy\a23c0949,MF,eg Egypt,26,1991,1,0,41,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
383,Yasser Al Mosailem\6869a0aa,GK,sa Saudi Arabia,34,1984,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
384,Victor Moses\e726e11e,MFDF,ng Nigeria,27,1990,3,3,270,3.0,1,1,0,1,1,0,0,0.33,0.33,0.67,0.00,0.33,1.0,0.3,0.2,0.5,0.35,0.07,0.42,0.09,0.17,Matches
385,João Moutinho\f5a00fa4,MF,pt Portugal,31,1986,3,2,185,2.1,0,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,0.0,0.0,0.4,0.4,0.00,0.18,0.18,0.00,0.18,Matches
386,Thomas Müller\3c6089ab,FW,de Germany,28,1989,3,2,208,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.1,0.15,0.34,0.48,0.15,0.48,Matches
387,Munir\fc8287db,GK,ma Morocco,29,1989,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
388,Luis Muriel\eb2fe5b6,MF,co Colombia,27,1991,2,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
389,Óscar Murillo\372c2df8,DF,co Colombia,30,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.11,0.00,0.11,0.11,0.11,Matches
390,Ahmed Musa\b7084daf,FWMF,ng Nigeria,25,1992,3,2,208,2.3,2,0,2,0,0,0,0,0.87,0.00,0.87,0.87,0.87,0.8,0.8,0.2,0.9,0.33,0.07,0.40,0.33,0.40,Matches
391,Fernando Muslera\a2abe631,GK,uy Uruguay,31,1986,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
392,Yoshinori Mutō\5343eb4e,FW,jp Japan,25,1992,1,1,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13,Matches
393,Fahad Al Muwallad\23f32ea1,FW,sa Saudi Arabia,23,1994,3,2,182,2.0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.0,0.0,0.0,0.39,0.01,0.40,0.01,0.02,Matches
394,Alfred N'Diaye\7789bf63,MF,sn Senegal,28,1990,2,2,149,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches
395,Khadim N'Diaye\f0581469,GK,sn Senegal,33,1985,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
396,Cheikh N'Doye\f1b2365a,FWMF,sn Senegal,32,1986,2,0,39,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.29,0.00,0.29,0.29,0.29,Matches
397,Andrew Nabbout\d62a84de,FW,au Australia,25,1992,2,2,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
398,Nacho\2946f9a1,DF,es Spain,28,1990,2,2,159,1.8,1,0,1,0,0,0,0,0.57,0.00,0.57,0.57,0.57,0.0,0.0,0.3,0.3,0.02,0.15,0.18,0.02,0.18,Matches
399,Yuto Nagatomo\4b6960d2,DF,jp Japan,31,1986,4,4,360,4.0,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.1,0.1,0.3,0.4,0.01,0.09,0.10,0.01,0.10,Matches
400,Hamdi Nagguez\ad3b22f1,DF,tn Tunisia,25,1992,2,1,157,1.7,0,1,0,0,0,0,0,0.00,0.57,0.57,0.00,0.57,0.0,0.0,0.4,0.4,0.02,0.21,0.23,0.02,0.23,Matches
401,Nahitan Nández\95facda1,MFFW,uy Uruguay,22,1995,5,4,290,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
402,Keylor Navas\ecada4fc,GK,cr Costa Rica,31,1986,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
403,Badou Ndiaye\960acc0a,MF,sn Senegal,27,1990,1,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.09,0.26,0.35,0.09,0.35,Matches
404,Wilfred Ndidi\6b47c5db,MF,ng Nigeria,21,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches
405,Manuel Neuer\8778c910,GK,de Germany,32,1986,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
406,Neymar\69384e5d,FW,br Brazil,26,1992,5,5,450,5.0,2,2,2,0,0,1,0,0.40,0.40,0.80,0.40,0.80,4.6,4.6,2.6,7.3,0.92,0.53,1.45,0.92,1.45,Matches
407,M'Baye Niang\2054d037,FW,sn Senegal,23,1994,3,3,244,2.7,1,1,1,0,0,2,0,0.37,0.37,0.74,0.37,0.74,1.5,1.5,0.2,1.7,0.56,0.08,0.64,0.56,0.64,Matches
408,Simeon Nwankwo\80dbbd10,MFFW,ng Nigeria,26,1992,2,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
409,Steven Nzonzi\c7526c18,MF,fr France,29,1988,5,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
410,John Obi Mikel\424d5f72,MF,ng Nigeria,31,1987,3,3,267,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.09,0.09,0.00,0.09,Matches
411,Guillermo Ochoa\1e9bde92,GK,mx Mexico,32,1985,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
412,Shinji Okazaki\68796d61,FWMF,jp Japan,32,1986,3,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.31,0.00,0.31,0.31,0.31,Matches
413,Robin Olsen\e7ee38c3,GK,se Sweden,28,1990,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
414,Martin Olsson\2f72f79e,FWMF,se Sweden,30,1988,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
415,Kenneth Omeruo\0f0aa5b4,DF,ng Nigeria,24,1993,2,2,179,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.0,0.0,0.5,0.5,0.01,0.27,0.27,0.01,0.27,Matches
416,Yuya Osako\f69fba57,FW,jp Japan,28,1990,4,3,308,3.4,1,0,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,1.0,1.0,0.4,1.3,0.29,0.11,0.39,0.29,0.39,Matches
417,David Ospina\82b1198a,GK,co Colombia,29,1988,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
418,Nicolás Otamendi\0d267745,DF,ar Argentina,30,1988,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matches
419,Abdullah Otayf\508d44cf,MF,sa Saudi Arabia,25,1992,3,3,243,2.7,0,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,0.1,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
420,Luis Ovalle\d1f5fe0a,DF,pa Panama,29,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
421,Bryan Oviedo\31faf295,DF,cr Costa Rica,28,1990,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.05,0.09,0.04,0.09,Matches
422,Mohammed Al-Owais\f2c060c6,GK,sa Saudi Arabia,26,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
423,Mesut Özil\16380240,MF,de Germany,29,1988,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.03,0.37,0.40,0.03,0.40,Matches
424,Rui Patrício\79b0d6a0,GK,pt Portugal,30,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
425,Paulinho\bb7337cc,MF,br Brazil,29,1988,5,5,349,3.9,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,1.4,1.4,0.5,1.9,0.37,0.13,0.50,0.37,0.50,Matches
426,Benjamin Pavard\45a03961,DF,fr France,22,1996,6,6,540,6.0,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.2,0.2,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matches
427,Cristian Pavón\a664b026,FWMF,ar Argentina,22,1996,4,1,155,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.03,0.05,0.02,0.05,Matches
428,Michał Pazdan\5114b89a,DF,pl Poland,30,1987,2,2,169,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
429,Jaime Penedo\16549316,GK,pa Panama,36,1981,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
430,Pepe\c906ce0f,DF,pt Portugal,35,1983,4,4,360,4.0,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.3,0.3,0.0,0.3,0.07,0.00,0.07,0.07,0.07,Matches
431,Oribe Peralta\5e6758f3,FW,mx Mexico,34,1984,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
432,Ricardo Pereira\75a72a99,DF,pt Portugal,24,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches
433,Blas Pérez\b9c81163,FW,pa Panama,37,1981,2,2,162,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.04,0.07,0.03,0.07,Matches
434,Enzo Pérez\6d27cfc2,MFFW,ar Argentina,32,1986,3,3,192,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.14,0.00,0.14,0.14,0.14,Matches
435,Ivan Perišić\6fe90922,FWMF,hr Croatia,29,1989,7,7,629,7.0,3,1,3,0,0,0,0,0.43,0.14,0.57,0.43,0.57,1.8,1.8,0.7,2.6,0.26,0.10,0.37,0.26,0.37,Matches
436,Sławomir Peszko\0629adab,FW,pl Poland,33,1985,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
437,Jordan Pickford\4806ec67,GK,eng England,24,1994,7,7,690,7.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
438,Gerard Piqué\adfc9123,DF,es Spain,31,1987,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.25,0.03,0.29,0.25,0.29,Matches
439,Łukasz Piszczek\fe2db476,DF,pl Poland,33,1985,2,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.14,0.16,0.02,0.16,Matches
440,Josip Pivarić\7c224498,DF,hr Croatia,29,1989,4,1,203,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.08,0.10,0.02,0.10,Matches
441,Marko Pjaca\2c38b327,FWDF,hr Croatia,23,1995,3,1,83,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.19,0.21,0.02,0.21,Matches
442,Marvin Plattenhardt\f7aa75bd,DF,de Germany,26,1992,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
443,Paul Pogba\867239d3,MF,fr France,25,1993,6,6,538,6.0,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,1.0,1.3,0.05,0.16,0.21,0.05,0.21,Matches
444,Yussuf Poulsen\d2416c2e,FW,dk Denmark,23,1994,3,3,268,3.0,1,0,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,0.3,0.3,0.1,0.4,0.10,0.03,0.12,0.10,0.12,Matches
445,Morteza Pouraliganji\2c2066f4,DF,ir Iran,26,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
446,Aleksandar Prijović\aec63b70,FW,rs Serbia,28,1990,1,0,2,0.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
447,Ricardo Quaresma\6b6d252d,MFFW,pt Portugal,34,1983,3,1,116,1.3,1,0,1,0,0,1,0,0.78,0.00,0.78,0.78,0.78,0.2,0.2,0.1,0.2,0.12,0.05,0.17,0.12,0.17,Matches
448,Juan Quintero\540d0b37,MFFW,co Colombia,25,1993,4,4,307,3.4,1,2,1,0,0,0,0,0.29,0.59,0.88,0.29,0.88,0.2,0.2,0.9,1.1,0.07,0.26,0.33,0.07,0.33,Matches
449,Nemanja Radonjić\0630eb63,FW,rs Serbia,22,1996,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07,Matches
450,Ivan Rakitić\89f951b5,MF,hr Croatia,30,1988,7,6,640,7.1,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,1.3,1.3,0.7,1.9,0.18,0.09,0.27,0.18,0.27,Matches
451,Christian Ramos\87196c85,DF,pe Peru,29,1988,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
452,Sergio Ramos\08511d65,DF,es Spain,32,1986,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.05,0.05,0.10,0.05,0.10,Matches
453,Marcus Rashford\a1d5bd30,FW,eng England,20,1997,6,1,202,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.24,0.13,0.37,0.24,0.37,Matches
454,Ante Rebić\536cebe5,FWMF,hr Croatia,24,1993,6,6,543,6.0,1,0,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,1.2,1.2,0.2,1.4,0.20,0.04,0.24,0.20,0.24,Matches
455,Marco Reus\36a3ff67,MFFW,de Germany,29,1989,3,2,211,2.3,1,1,1,0,0,0,0,0.43,0.43,0.85,0.43,0.85,0.3,0.3,0.1,0.4,0.15,0.03,0.17,0.15,0.17,Matches
456,Ramin Rezaeian\c0ae3446,DF,ir Iran,28,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Matches
457,Josh Risdon\22b526b8,DF,au Australia,25,1992,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
458,Rodrigo\1fb1c435,FWMF,es Spain,27,1991,3,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,1.27,0.00,1.27,1.27,1.27,Matches
