,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
98,Edinson Cavani\527f063d,FW,uy Uruguay,31,1987,4,4,342,3.8,3,0,3,0,0,0,0,0.79,0.00,0.79,0.79,0.79,1.9,1.9,0.4,2.3,0.50,0.10,0.60,0.50,0.60,Matches
99,Ghaylène Chaalali\fb3f920a,MF,tn Tunisia,24,1994,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.04,0.03,0.07,0.04,0.07,Matches
100,Nacer Chadli\5b54bf3b,MFDF,be Belgium,28,1989,6,4,326,3.6,1,1,1,0,0,0,0,0.28,0.28,0.55,0.28,0.55,0.5,0.5,0.6,1.1,0.13,0.17,0.30,0.13,0.30,Matches
101,Denis Cheryshev\0ac94a23,FWMF,ru Russia,27,1990,5,3,303,3.4,4,0,4,0,0,0,0,1.19,0.00,1.19,1.19,1.19,1.1,1.1,0.0,1.1,0.32,0.01,0.32,0.32,0.32,Matches
102,Roozbeh Cheshmi\87c75fb3,DF,ir Iran,24,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
103,Andreas Christensen\1cb49278,DFMF,dk Denmark,22,1996,4,4,305,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
104,Hong Chul\c7de2245,DF,kr Korea Republic,27,1990,2,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.25,0.25,0.00,0.25,Matches
105,Thiago Cionek\46f5c54d,DF,pl Poland,32,1986,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
106,Viktor Claesson\b3a712de,MFFW,se Sweden,26,1992,5,5,433,4.8,0,2,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,0.7,0.7,0.9,1.6,0.15,0.18,0.33,0.15,0.33,Matches
107,Sebastián Coates\1fbbfbde,DF,uy Uruguay,27,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
108,Daniel Colindres\508317ac,FW,cr Costa Rica,33,1985,2,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.18,0.03,0.22,0.18,0.22,Matches
