,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
105,Joel Campbell\895ff3ca,FWMF,cr Costa Rica,21,1992,5,5,412,4.6,1,1,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches
106,Antonio Candreva\356c9002,DFFW,it Italy,27,1987,2,2,134,1.5,0,1,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,Matches
107,Carlos Carbonero\11af1c57,MF,co Colombia,23,1990,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Juan Carlos García\764476b9,DF,hn Honduras,26,1988,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Juan Carlos Paredes\5d8c6afd,DFMF,ec Ecuador,26,1987,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Carlos Carmona\12b9753e,MF,cl Chile,27,1987,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Eduardo Carvalho\81b906e7,GK,pt Portugal,31,1982,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
112,William Carvalho\dee86451,MF,pt Portugal,22,1992,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Iker Casillas\1ddbb0da,GK,es Spain,33,1981,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
114,Antonio Cassano\d0ed4d32,FW,it Italy,31,1982,2,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
115,Edinson Cavani\527f063d,FWMF,uy Uruguay,27,1987,4,4,360,4.0,1,1,0,1,1,0,0,0.25,0.25,0.50,0.00,0.25,Matches
116,Santi Cazorla\e2e9c250,MF,es Spain,29,1984,2,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
117,Alessio Cerci\5370cba7,FWMF,it Italy,26,1987,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Júlio César\f619413f,GK,br Brazil,34,1979,7,7,660,7.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Nacer Chadli\5b54bf3b,FWMF,be Belgium,24,1989,4,1,102,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
120,Marvin Chávez\d3dd83f0,FWMF,hn Honduras,30,1983,2,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Osman Chávez\3d9aac3d,DF,hn Honduras,29,1984,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Aurélien Chedjou\80e4c841,DF,cm Cameroon,28,1985,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Giorgio Chiellini\e85fb9b8,DF,it Italy,29,1984,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Lazaros Christodoulopoulos\f73abe54,FWMF,gr Greece,27,1986,2,2,210,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Park Chu-young\d9fa272a,FWMF,kr Korea Republic,28,1985,2,2,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
126,Lee Chung-yong\49b05a83,FWMF,kr Korea Republic,25,1988,3,3,243,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
127,Jasper Cillessen\04ac8285,GK,nl Netherlands,25,1989,7,7,688,7.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Jorge Claros\a9df8baf,MF,hn Honduras,28,1986,3,2,213,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Jordy Clasie\31c01b85,MF,nl Netherlands,22,1991,2,1,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
130,Sebastián Coates\1fbbfbde,DF,uy Uruguay,23,1990,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Fábio Coentrão\0f8bd0a6,DF,pt Portugal,26,1988,1,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
