,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
498,Alexis Sánchez\2c0f8e9e,FWMF,cl Chile,25,1988,4,4,390,4.3,2,1,2,0,0,0,0,0.46,0.23,0.69,0.46,0.69,Matches
499,Carlos Sánchez\50b51fac,MF,co Colombia,28,1986,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
500,Fabian Schär\c8aa95da,DF,ch Switzerland,22,1991,2,2,210,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
501,Morgan Schneiderlin\51b41c5c,MF,fr France,24,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
502,André Schürrle\ecbb3fdf,FWMF,de Germany,23,1990,6,0,249,2.8,3,1,3,0,0,0,0,1.08,0.36,1.45,1.08,1.45,Matches
503,Bastian Schweinsteiger\ccc22fea,DFMF,de Germany,29,1984,6,5,505,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
504,Haris Seferović\a45eac1f,FW,ch Switzerland,22,1992,4,1,141,1.6,1,0,1,0,0,0,0,0.64,0.00,0.64,0.64,0.64,Matches
505,Philippe Senderos\b1d82fc2,DF,ch Switzerland,29,1985,1,0,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
506,Hwang Seok-ho\5b66c012,DF,kr Korea Republic,24,1989,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
507,Kim Seung-gyu\eabaafa6,GK,kr Korea Republic,23,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
508,Xherdan Shaqiri\6421ec64,FWMF,ch Switzerland,22,1991,4,4,386,4.3,3,0,3,0,0,0,0,0.70,0.00,0.70,0.70,0.70,Matches
509,Oleg Shatov\8ce063f9,FWMF,ru Russia,23,1990,3,3,206,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
510,Luke Shaw\9c94165b,DFMF,eng England,18,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
511,Kim Shin-wook\a28c86c0,FW,kr Korea Republic,26,1988,2,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
512,Masoud Shojaei\a898d91e,MF,ir Iran,30,1984,3,2,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
513,David Silva\e2716bd0,FWMF,es Spain,28,1986,3,2,175,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
514,Eduardo da Silva\10ba6807,FW,hr Croatia,31,1983,1,0,22,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
515,Francisco Silva\11d68e60,DFMF,cl Chile,28,1986,3,3,279,3.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
516,Thiago Silva\86e7deaf,DF,br Brazil,29,1984,6,6,570,6.3,1,1,1,0,0,3,0,0.16,0.16,0.32,0.16,0.32,Matches
517,Giovanni Sio\0fe7f7bc,FWMF,ci Côte d'Ivoire,25,1989,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
518,Salvatore Sirigu\10dc46f0,GK,it Italy,27,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
519,Maicon Sisenando\fbc5d136,DF,br Brazil,32,1981,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
520,Moussa Sissoko\2acd49b9,MF,fr France,24,1989,4,2,215,2.4,1,0,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches
521,Islam Slimani\ffec9769,FW,dz Algeria,25,1988,4,3,324,3.6,2,1,2,0,0,0,0,0.56,0.28,0.83,0.56,0.83,Matches
522,Chris Smalling\b6964eb6,DF,eng England,24,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
523,Wesley Sneijder\ad625c12,MF,nl Netherlands,30,1984,6,6,584,6.5,1,1,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,Matches
524,Alex Song\1c32281d,DFMF,cm Cameroon,26,1987,2,2,117,1.3,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
525,Hillel Soudani\7a435eb3,FWMF,dz Algeria,26,1987,3,2,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
526,Emir Spahić\009633c8,DF,ba Bosnia and Herzegovina,33,1980,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
527,Matthew Spiranovic\faa88ff6,DFMF,au Australia,25,1988,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
528,Darijo Srna\edd6c8e9,DFMF,hr Croatia,32,1982,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
529,Raheem Sterling\b400bde0,FWMF,eng England,19,1994,3,2,182,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
530,Valentin Stocker\6b85f966,MF,ch Switzerland,25,1989,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
531,Cristhian Stuani\220c11f1,FWMF,uy Uruguay,27,1986,4,1,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
532,Daniel Sturridge\1b7ec703,FWMF,eng England,24,1989,3,3,259,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches
533,Luis Suárez\a6154613,FW,uy Uruguay,27,1987,2,2,177,2.0,2,0,2,0,0,0,0,1.02,0.00,1.02,1.02,1.02,Matches
534,Yun Suk-young\121612e7,DFMF,kr Korea Republic,24,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
535,Jung Sung-ryong\68362e1c,GK,kr Korea Republic,29,1985,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
536,Ki Sung-yueng\1d8c99b0,MF,kr Korea Republic,25,1989,3,3,270,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches
537,Toni Šunjić\a79c321f,DF,ba Bosnia and Herzegovina,25,1988,2,2,180,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matches
538,Tino-Sven Sušić\488350bf,MF,ba Bosnia and Herzegovina,22,1992,2,1,105,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
539,Adam Taggart\2c7d02e5,FW,au Australia,21,1993,2,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
540,Saphir Taïder\a12d0c05,MF,dz Algeria,22,1992,2,2,167,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
541,Yeltsin Tejeda\74319b04,MF,cr Costa Rica,22,1992,5,5,391,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
542,Andranik Teymourian\dec2c4e1,MF,ir Iran,31,1983,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
543,Cheick Tioté\e1270968,MF,ci Côte d'Ivoire,27,1986,3,3,240,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
544,Vasilis Torosidis\8ea2c099,DFMF,gr Greece,29,1985,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
545,Fernando Torres\bdf7b97d,FW,es Spain,30,1984,3,1,145,1.6,1,0,1,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches
546,Kolo Touré\3301c9f4,DF,ci Côte d'Ivoire,33,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
547,Yaya Touré\c204f844,MF,ci Côte d'Ivoire,31,1983,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
548,James Troisi\3b4706ab,FWMF,au Australia,25,1988,2,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
549,Michael Uchebo\fab62497,FW,ng Nigeria,,1900,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
550,Atsuto Uchida\7c81e887,DF,jp Japan,26,1988,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
551,Michael Umaña\bd08a77d,DF,cr Costa Rica,31,1982,4,4,420,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
552,Marco Ureña\823e3479,FW,cr Costa Rica,24,1990,4,0,106,1.2,1,0,1,0,0,0,0,0.85,0.00,0.85,0.85,0.85,Matches
553,Ejike Uzoenyi\047d9cc1,FWMF,ng Nigeria,26,1988,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
554,Mathieu Valbuena\7a4cea18,FWMF,fr France,29,1984,4,4,331,3.7,1,1,1,0,0,0,0,0.27,0.27,0.54,0.27,0.54,Matches
555,Carlos Valdés\9beb653a,DF,co Colombia,29,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
556,Jorge Valdivia\11f1e522,MF,cl Chile,30,1983,3,1,94,1.0,1,0,1,0,0,0,0,0.96,0.00,0.96,0.96,0.96,Matches
557,Antonio Valencia\08aa17d0,DFMF,ec Ecuador,28,1985,3,3,229,2.5,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
558,Enner Valencia\fb485406,FWMF,ec Ecuador,24,1989,3,3,270,3.0,3,0,3,0,0,1,0,1.00,0.00,1.00,1.00,1.00,Matches
559,Noel Valladares\af5aa006,GK,hn Honduras,37,1977,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
560,Daniel Van Buyten\18a7d190,DF,be Belgium,36,1978,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
561,Anthony Vanden Borre\6d31e0c1,DFMF,be Belgium,26,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
562,Raphaël Varane\9f8e9423,DFMF,fr France,21,1993,5,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
563,Silvestre Varela\9dffef9e,FWMF,pt Portugal,29,1985,2,0,51,0.6,1,0,1,0,0,0,0,1.76,0.00,1.76,1.76,1.76,Matches
564,Eduardo Vargas\bd603c00,FWMF,cl Chile,24,1989,4,4,307,3.4,1,1,1,0,0,0,0,0.29,0.29,0.59,0.29,0.59,Matches
565,Miguel Veloso\ab1ca213,MF,pt Portugal,28,1986,3,3,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
566,Joël Veltman\dad4b285,DF,nl Netherlands,22,1992,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
567,Paul Verhaegh\97655ccd,DF,nl Netherlands,30,1983,1,1,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
568,Thomas Vermaelen\d0d79694,DF,be Belgium,28,1985,1,1,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
569,Marco Verratti\1467af0d,MF,it Italy,21,1992,2,2,130,1.4,0,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,Matches
570,Jan Vertonghen\ba23a904,DF,be Belgium,27,1987,5,4,450,5.0,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches
571,Arturo Vidal\67cdbc0e,MF,cl Chile,27,1987,3,3,232,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
572,Vieirinha\779fe525,DFFW,pt Portugal,28,1986,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
573,David Villa\ade08a67,FWMF,es Spain,32,1981,1,1,55,0.6,1,0,1,0,0,0,0,1.64,0.00,1.64,1.64,1.64,Matches
574,Edin Višća\da1185fc,DFFW,ba Bosnia and Herzegovina,24,1990,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
575,Ron Vlaar\366f6f12,DF,nl Netherlands,29,1985,7,7,690,7.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
576,Michel Vorm\1bebde9d,GK,nl Netherlands,30,1983,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
577,Ognjen Vranješ\b8ae831b,DF,ba Bosnia and Herzegovina,24,1989,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
578,Stefan de Vrij\d0d8dd44,DF,nl Netherlands,22,1992,7,7,676,7.5,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
579,Avdija Vršajević\90104ffb,DFMF,ba Bosnia and Herzegovina,28,1986,1,1,90,1.0,1,0,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
580,Šime Vrsaljko\46a8347f,DFMF,hr Croatia,22,1992,2,2,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
581,Wakaso\999908af,MF,gh Ghana,23,1990,2,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
582,Pierre Webó\3d6f05ea,FW,cm Cameroon,32,1982,3,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
583,Danny Welbeck\ce5143da,FWMF,eng England,23,1990,2,2,130,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
584,Georginio Wijnaldum\eb58eef0,MF,nl Netherlands,23,1990,7,5,552,6.1,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
585,Alex Wilkinson\5d92749e,DF,au Australia,29,1984,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
586,Willian\8b9ebd03,FWMF,br Brazil,25,1988,5,1,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
587,Jack Wilshere\9c318325,MF,eng England,22,1992,2,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
588,Axel Witsel\5dfc6ad5,MF,be Belgium,25,1989,4,4,390,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
589,Chris Wondolowski\37f46eda,FW,us United States,31,1983,2,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
590,Xavi\c1b4188c,MF,es Spain,34,1980,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
591,Granit Xhaka\e61b8aee,MF,ch Switzerland,21,1992,4,4,321,3.6,1,0,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches
592,Didier Ya Konan\1f73c654,FWMF,ci Côte d'Ivoire,30,1984,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
593,Hotaru Yamaguchi\8c147c14,MF,jp Japan,23,1990,3,2,209,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
594,Hassan Yebda\4907d688,MF,dz Algeria,30,1984,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
595,DeAndre Yedlin\ae0a7ddf,DF,us United States,20,1993,3,0,115,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
596,Mario Yepes\a7562b55,DF,co Colombia,38,1976,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
597,Andrey Yeshchenko\d0a01d27,DF,ru Russia,30,1984,2,1,119,1.3,0,1,0,0,0,0,0,0.00,0.76,0.76,0.00,0.76,Matches
598,Joseph Yobo\acd633df,DF,ng Nigeria,33,1980,4,3,332,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
599,Lee Yong\95e57652,DF,kr Korea Republic,27,1986,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
600,Maya Yoshida\caffaf5a,DF,jp Japan,25,1988,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
601,Kim Young-gwon\9459ace1,DF,kr Korea Republic,24,1990,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
602,Pablo Zabaleta\6813ac34,DFMF,ar Argentina,29,1985,7,7,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
603,Cristián Zapata\b1deecf8,DF,co Colombia,27,1986,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
604,Yuri Zhirkov\ed2b33cb,DFMF,ru Russia,30,1983,1,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
605,Didier Zokora\23921ca7,MF,ci Côte d'Ivoire,33,1980,2,2,180,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
606,Juan Zúñiga\06b34f37,DFMF,co Colombia,28,1985,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
607,Graham Zusi\9ba42447,DFFW,us United States,27,1986,4,3,257,2.9,0,2,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70,Matches
